model,training_dataset,evaluation_dataset,eval_split,precision,recall,map50,map50_95,experiment_id
Ghost-CA-YOLO,RDD2022+Kazakhstan,Kazakhstan test,kz-test,0.5437108681759781,0.7857142857142857,0.6752685647685648,0.2612473840107276,df1e85cfdd95
Ghost-CA-YOLO,RDD2022,RDD2022-val,val,0.60812,0.54904,0.57581,0.28155,4cec3667e638
Ghost-CA-YOLO,RDD2022+Kazakhstan,Kazakhstan-val,val,0.55661,0.47917,0.47681,0.18359,29b3badeff6b
YOLO11s,RDD2022+Kazakhstan,Kazakhstan test,kz-test,0.5725873850967026,0.7840773118785764,0.6895956937799042,0.32434080599225334,b1ecb6a78c0b
YOLO11s,RDD2022,RDD2022-val,val,0.62284,0.57554,0.61015,0.29784,a0cca3351e51
YOLO11s,RDD2022+Kazakhstan,Kazakhstan-val,val,0.72155,0.30208,0.32134,0.15226,7d23425256c3
