experiment_id,phase,training_dataset,evaluation_dataset,model,dataset_config,eval_split,weights,epochs,imgsz,precision,recall,map50,map50_95,paper_eligible,source_run_dir,notes
a0cca3351e51,train,RDD2022,RDD2022-val,YOLO11s,data/processed/rdd_yolo/dataset.yaml,val,yolo11s.pt,50,640,0.62284,0.57554,0.61015,0.29784,true,runs/detect/runs/detect/rdd_yolo11s,YOLO11s trained on RDD2022 at imgsz=640.
afcff68dba9c,eval,RDD2022,Kazakhstan test,YOLO11s,configs/dataset.yaml,kz-test,runs/detect/runs/detect/rdd_yolo11s/weights/best.pt,,640,0.27643795183514724,0.21428571428571427,0.16773569023569024,0.03086214320392911,true,runs/detect/runs/detect/balanced_split_20260512/yolo11s_rdd_only_kz_test,YOLO11s trained on RDD2022 and evaluated on Kazakhstan test.
7d23425256c3,train,RDD2022+Kazakhstan,Kazakhstan-val,YOLO11s,configs/dataset.yaml,val,runs/detect/runs/detect/rdd_yolo11s/weights/best.pt,30,640,0.72155,0.30208,0.32134,0.15226,true,runs/detect/runs/detect/balanced_split_20260512/kz_adapt_yolo11s,YOLO11s fine-tuned on Kazakhstan training split.
b1ecb6a78c0b,eval,RDD2022+Kazakhstan,Kazakhstan test,YOLO11s,configs/dataset.yaml,kz-test,runs/detect/runs/detect/balanced_split_20260512/kz_adapt_yolo11s/weights/best.pt,,640,0.5725873850967026,0.7840773118785764,0.6895956937799042,0.32434080599225334,true,runs/detect/runs/detect/balanced_split_20260512/yolo11s_adapted_kz_test,YOLO11s fine-tuned on Kazakhstan and evaluated on Kazakhstan test.
4cec3667e638,train,RDD2022,RDD2022-val,Ghost-CA-YOLO,data/processed/rdd_yolo/dataset.yaml,val,configs/ghost_ca_yolo11s.yaml,50,640,0.60812,0.54904,0.57581,0.28155,true,runs/detect/runs/detect/rdd_ghost_ca_yolo11s,Ghost-CA-YOLO trained on RDD2022 at imgsz=640.
cd3a1f8d2a26,eval,RDD2022,Kazakhstan test,Ghost-CA-YOLO,configs/dataset.yaml,kz-test,runs/detect/runs/detect/rdd_ghost_ca_yolo11s/weights/best.pt,,640,0.24497215590418445,0.42857142857142855,0.26166666666666666,0.03201862554112554,true,runs/detect/runs/detect/balanced_split_20260512/ghost_ca_yolo11s_rdd_only_kz_test,Ghost-CA-YOLO trained on RDD2022 and evaluated on Kazakhstan test.
29b3badeff6b,train,RDD2022+Kazakhstan,Kazakhstan-val,Ghost-CA-YOLO,configs/dataset.yaml,val,runs/detect/runs/detect/rdd_ghost_ca_yolo11s/weights/best.pt,30,640,0.55661,0.47917,0.47681,0.18359,true,runs/detect/runs/detect/balanced_split_20260512/kz_adapt_ghost_ca_yolo11s,Ghost-CA-YOLO fine-tuned on Kazakhstan training split.
df1e85cfdd95,eval,RDD2022+Kazakhstan,Kazakhstan test,Ghost-CA-YOLO,configs/dataset.yaml,kz-test,runs/detect/runs/detect/balanced_split_20260512/kz_adapt_ghost_ca_yolo11s/weights/best.pt,,640,0.5437108681759781,0.7857142857142857,0.6752685647685648,0.2612473840107276,true,runs/detect/runs/detect/balanced_split_20260512/ghost_ca_yolo11s_adapted_kz_test,Ghost-CA-YOLO fine-tuned on Kazakhstan and evaluated on Kazakhstan test.
